date,source_type,page,section,brand,offer,product_type
2026-09-03,页面,Travel & Entertainment,,Trip.com,6% Off Hotel bookings 🏝️ Save more on hotels this Freshers and get 6% off with Trip.com. Get now,Hotels / Accommodation
2026-09-03,页面,Travel & Entertainment,,TrainPal,£9 Off Railcards For New Customers 🚂 Get £9 Off your first Railcard with TrainPal PLUS save 1/3 on UK train tickets each time you travel. Get now,Railcard
2026-09-03,页面,Travel & Entertainment,,TrainPal,15% Off Trains For New Customers ⚡️ New to TrainPal? Get 15% off your first train as a TrainPal customer and save big on travel. Get now,UK & Europe Train Tickets
2026-09-03,页面,Travel & Entertainment,,Trip.com,6% Off Hotel bookings 🏝️,Hotels / Accommodation
2026-09-03,页面,Travel & Entertainment,,TrainPal,£9 Off Railcards For New Customers 🚂,Railcard
2026-09-03,页面,Travel & Entertainment,,TrainPal,15% Off Trains For New Customers ⚡️,UK & Europe Train Tickets
2026-09-03,页面,Travel & Entertainment,,Trip.com,Save more on hotels this Freshers and get 6% off with Trip.com.,Hotels / Accommodation
2026-09-03,页面,Travel & Entertainment,,No membership required,"buy up to 4 tickets per person. Kick off 5th September, 15:00.",Tours & Tickets
2026-09-03,页面,Travel & Entertainment,,TrainPal,Get £9 Off your first Railcard with TrainPal PLUS save 1/3 on UK train tickets each time you travel.,Railcard
2026-09-03,页面,Travel & Entertainment,,TrainPal,New to TrainPal? Get 15% off your first train as a TrainPal customer and save big on travel.,UK & Europe Train Tickets
2026-09-03,页面,Travel & Entertainment,,National Express,Enjoy up to 20% off with National Express 🚎 Get up to 20% off a full priced National Express Standard or Fully Flexible fare 🤑,Bus / Coach
2026-09-03,页面,Travel & Entertainment,,National Express,Enjoy up to 20% off with National Express 🚎,Bus / Coach
2026-09-03,页面,Travel & Entertainment,,National Express,Get up to 20% off a full priced National Express Standard or Fully Flexible fare 🤑,Bus / Coach
2026-09-03,页面,Travel & Entertainment,Holidays & Hotels,Jet2holidays,Families Save Up To £700 + Extra £50 Off,Hotels / Accommodation
2026-09-03,页面,Travel & Entertainment,Holidays & Hotels,Lastminute.com,£35 Off £199 Minimum Spend (Flight & Hotel Packages),Flights
2026-09-03,页面,Travel & Entertainment,Holidays & Hotels,Flexiroam,20% Off Travel Data Plans,Other
2026-09-03,页面,Travel & Entertainment,Holidays & Hotels,Lastminute.com,£35 Off £199 Minimum Spend (Flight & Hotel Packages) Exclusive,Flights
2026-09-03,页面,Travel & Entertainment,Holidays & Hotels,Expedia,Save Up To 30% + Extra 10% Off,Other
2026-09-03,页面,Travel & Entertainment,Holidays & Hotels,Fever,10% Off,Other
2026-09-03,页面,Travel & Entertainment,Holidays & Hotels,Klook,20% Off for New Klook Users,Other
2026-09-03,页面,Travel & Entertainment,Transport,Avanti West Coast,London to Glasgow Student Tickets From £29.50,UK & Europe Train Tickets
2026-09-03,页面,Travel & Entertainment,Transport,Uber One,members: Free JOE & THE JUICE every week,Other
2026-09-03,页面,Travel & Entertainment,Transport,Uber Rides,£10 Off your first ride with Uber,Other
2026-09-03,页面,Travel & Entertainment,Transport,Trainline,15% Off 16-17 Saver Railcard,Railcard
2026-09-03,页面,Travel & Entertainment,Days Out,Junkyard Golf Club,"50% Off Walk Ins At Leeds, Liverpool, Newcastle and Manchester",Other
2026-09-03,页面,Travel & Entertainment,Days Out,GetYourGuide,Get 10% Off Day Trips,Other
2026-09-03,页面,Travel & Entertainment,Days Out,Love to Visit,25% Off Chester Zoo Tickets,Tours & Tickets
2026-09-03,页面,Travel & Entertainment,Events,Manchester City Football Club,Man City v Coventry now on general sale!,Other
2026-09-03,页面,Travel & Entertainment,Events,Thorpe Park,Student Tickets from £24,Tours & Tickets
2026-09-03,页面,Travel & Entertainment,Streaming Services,Apple Music,Get 1 month free,Other
2026-09-03,页面,Travel & Entertainment,Streaming Services,Apple Music,Only £5.99/month & free access to TV,Other
2026-09-03,页面,Travel & Entertainment,Streaming Services,Channel 4,Your Free Month Trial Of Channel 4+,Other
2026-09-03,页面,Travel & Entertainment,Streaming Services,Amazon Music Unlimited,30 Day Free Trial,Other
2026-09-03,页面,Travel & Entertainment,Streaming Services,Audible,30-day free trial,Other
2026-09-03,页面,Travel & Entertainment,Streaming Services,Amazon,Music Unlimited 30 Day Free Trial,Other
2026-09-03,页面,Travel & Entertainment,Streaming Services,Amazon,30 Day Free Trial,Other
2026-09-03,页面,Travel & Entertainment,All Travel & Entertainment,Airbnb,10% Off your first Airbnb stay,Hotels / Accommodation
2026-09-03,页面,Travel & Entertainment,All Travel & Entertainment,Wowcher,10% Off Discount,Other
2026-09-03,页面,Travel & Entertainment,All Travel & Entertainment,Uber Rides,£5 Off your first UberXL trip,Other
2026-09-03,页面,Travel & Entertainment,All Travel & Entertainment,Uber Rides,£5 Off on First Train Ticket with Uber,UK & Europe Train Tickets
2026-09-03,页面,Travel & Entertainment,All Travel & Entertainment,Wowcher,10% Off Discount Exclusive,Other
2026-09-03,页面,Transport,Transport,Uber Rides,£10 Off your first ride with Uber,Other
2026-09-03,页面,Transport,Transport,Uber Rides,£5 Off your first UberXL trip,Other
2026-09-03,页面,Transport,Transport,Uber Rides,£5 Off on First Train Ticket with Uber,UK & Europe Train Tickets
2026-09-03,页面,Transport,Transport,TrainPal,£9 Off Railcards For New Customers,Railcard
2026-09-03,页面,Transport,Transport,TrainPal,15% Off trains for new customers + 4%,UK & Europe Train Tickets
2026-09-03,页面,Transport,Transport,Uber One,Free JOE & THE JUICE every week,Other
2026-09-03,页面,Transport,Transport,TrainPal,15% Off trains for new customers + 4% Boosted,UK & Europe Train Tickets
2026-09-03,页面,Transport,Transport,Avanti West Coast,London to Glasgow Student Tickets From £29.50,UK & Europe Train Tickets
2026-09-03,页面,Transport,Transport,Avanti West Coast,London to Preston/Oxenholme/Penrith Tickets From £27,UK & Europe Train Tickets
2026-09-03,页面,Transport,Transport,Avanti West Coast,London to Liverpool Student Tickets From £19,UK & Europe Train Tickets
2026-09-03,页面,Transport,Transport,Avanti West Coast,London to Coventry Student Tickets From £13.50,UK & Europe Train Tickets
2026-09-03,页面,Transport,Transport,Avanti West Coast,London to Birmingham Student Tickets From £13.50,UK & Europe Train Tickets
2026-09-03,页面,Transport,Transport,Avanti West Coast,London to Manchester Student Tickets From £26,UK & Europe Train Tickets
2026-09-03,页面,Transport,Transport,Virgin Atlantic,Up to £60 Off the Virgin Atlantic Sale!,Flights
2026-09-03,页面,Transport,Transport,Trip.com,£4 Off your first UK train ticket In-App,UK & Europe Train Tickets
2026-09-03,页面,Transport,Transport,Trip.com,£8 Off Railcards for new users,Railcard
2026-09-03,页面,Transport,Transport,Trip.com,2% Off UK trains for existing users,UK & Europe Train Tickets
2026-09-03,页面,Transport,Transport,Trip.com,5% off UK trains for new users,UK & Europe Train Tickets
2026-09-03,页面,Transport,Transport,Trip.com,15% Off Trains For New Customers,UK & Europe Train Tickets
2026-09-03,页面,Transport,Transport,Bolt,60% Off the first two rides,Other
2026-09-03,页面,Transport,Transport,TrainPal,Up To 18% Off Trains For New Customers,UK & Europe Train Tickets
2026-09-03,页面,Transport,Transport,TrainPal,Up To 18% Off Trains For New Customers 2 days,UK & Europe Train Tickets
2026-09-03,页面,Transport,Transport,Klook,20% Off for New Klook Users,Other
2026-09-03,页面,Transport,Transport,Jet2holidays,"Over 25,000 seats at £39 or less",Hotels / Accommodation
2026-09-03,页面,Transport,Transport,RAC,Up to 40% Off RAC Breakdown Cover!*,Other
2026-09-03,页面,Transport,Transport,Jet2holidays Over 25,000 seats at £39 or less,Hotels / Accommodation
2026-09-03,页面,Transport,Transport,Over 25,000 seats at £39 or less,Other
